number_of_rooms;s_squared;price
1;48;8
2;69,6;6,2
3;88,2;9,337,900
4;275;24
1;60,5;5,4
2;83;10,9
3;119,75;22,3
4;172;63,824
1;50;8,95
2;90;17
3;99;8,45
4;239,33;106,621,5
1;54;5,5
2;72;12,95
3;132,4;12,2
4;264;125
2;75;25
3;17,15;42,421,800
4;107;6,95
