1; 35; 3.69; 
2; 59; 7.2; 
2; 69; 5.52;
1; 25; 2.05;
1; 29; 2.24;
1; 44; 6.54;
3; 99; 16.35;
7; 2; 59; 
2; 46; 4.37;
3; 82; 10.6; 
2; 68; 7.7;
3; 60; 4.8; 
2; 58; 7.35; 
1; 34 2.75; 
3; 68; 6.39; 
2; 47; 4.8;
2; 42; 4.05; 
3; 75; 8.27; 
3; 87; 11.32; 
3; 106; 15.08; 
